Year,Location,Soil Type,Max_Temperature,Min_Teperature,Rainfall,Humidity,Yield Kg/ha
2019,Chefe Donsa,Black Soil,27.0,13.5,811.2,57.0,550.0
2019,Chefe Donsa,Black Soil,26.0,10.0,811.2,52.0,390.0
2019,Chefe Donsa,Black Soil,25.5,10.0,811.2,65.0,600.0
2019,Chefe Donsa,Black Soil,24.5,11.0,811.2,51.0,320.0
2019,Chefe Donsa,Black Soil,25.0,11.0,811.2,55.0,630.0
2019,Chefe Donsa,Black Soil,27.0,13.5,811.2,58.0,480.0
2019,Chefe Donsa,Black Soil,26.5,12.5,811.2,45.0,350.0
2019,Chefe Donsa,Black Soil,24.5,16.0,811.2,36.0,330.0
2019,Chefe Donsa,Black Soil,23.5,11.5,811.2,42.0,350.0
2019,Chefe Donsa,Black Soil,25.0,14.0,811.2,44.0,350.0
2019,Chefe Donsa,Black Soil,25.0,12.0,811.2,58.0,450.0
2019,Chefe Donsa,Black Soil,25.5,13.0,811.2,50.0,550.0
2019,Chefe Donsa,Black Soil,26.0,11.5,811.2,40.0,200.0
2019,Chefe Donsa,Black Soil,24.0,12.5,811.2,45.0,540.0
2019,Chefe Donsa,Black Soil,31.0,12.5,811.2,40.0,360.0
2019,Chefe Donsa,Black Soil,30.5,12.0,811.2,39.0,695.0
2019,Chefe Donsa,Black Soil,29.5,13.0,811.2,35.0,590.0
2019,Chefe Donsa,Black Soil,30.0,13.0,811.2,44.0,490.0
2019,Chefe Donsa,Black Soil,31.0,13.0,811.2,56.0,720.0
2019,Chefe Donsa,Black Soil,30.5,12.0,811.2,42.0,670.0
2019,Chefe Donsa,Black Soil,29.5,10.5,811.2,49.0,950.0
2019,Chefe Donsa,Black Soil,30.0,15.0,811.2,57.0,660.0
2019,Chefe Donsa,Black Soil,31.0,11.5,811.2,60.0,750.0
2019,Chefe Donsa,Black Soil,31.0,14.0,811.2,48.0,440.0
2019,Chefe Donsa,Black Soil,30.0,13.5,811.2,53.0,480.0
2019,Chefe Donsa,Black Soil,31.0,12.5,811.2,54.0,720.0
2019,Chefe Donsa,Black Soil,31.0,13.5,811.2,55.0,300.0
2019,Chefe Donsa,Black Soil,31.0,13.0,811.2,56.0,500.0
2019,Chefe Donsa,Black Soil,29.0,13.0,811.2,56.0,970.0
2019,Chefe Donsa,Black Soil,29.0,13.5,811.2,61.0,370.0
2019,Chefe Donsa,Black Soil,28.5,14.0,811.2,54.0,520.0
2019,DZ-BS,Black Soil,30.5,13.5,811.2,57.0,3670.0
2019,DZ-BS,Black Soil,32.5,13.5,811.2,53.0,3620.0
2019,DZ-BS,Black Soil,32.0,14.0,811.2,65.0,3320.0
2019,DZ-BS,Black Soil,31.0,13.5,811.2,51.0,3010.0
2019,DZ-BS,Black Soil,29.5,15.5,811.2,57.0,3600.0
2019,DZ-BS,Black Soil,27.5,14.0,811.2,58.0,2670.0
2019,DZ-BS,Black Soil,29.0,14.5,811.2,71.0,2710.0
2019,DZ-BS,Black Soil,27.0,14.5,811.2,58.0,3710.0
2019,DZ-BS,Black Soil,29.5,14.0,811.2,71.0,3100.0
2019,DZ-BS,Black Soil,28.5,13.0,811.2,67.0,3680.0
2019,DZ-BS,Black Soil,28.5,13.5,811.2,58.0,4260.0
2019,DZ-BS,Black Soil,27.0,12.5,811.2,50.0,3170.0
2019,DZ-BS,Black Soil,31.0,14.5,811.2,72.0,3020.0
2019,DZ-BS,Black Soil,30.5,14.0,811.2,74.0,2930.0
2019,DZ-BS,Black Soil,29.5,14.0,811.2,57.0,3150.0
2019,DZ-BS,Black Soil,30.0,13.0,811.2,56.0,2690.0
2019,DZ-BS,Black Soil,31.0,14.0,811.2,66.0,3740.0
2019,DZ-BS,Black Soil,31.0,13.5,811.2,53.0,2790.0
2019,DZ-BS,Black Soil,30.0,12.5,811.2,59.0,3350.0
2019,DZ-BS,Black Soil,31.0,12.5,811.2,52.0,4120.0
2019,DZ-BS,Black Soil,31.0,11.0,811.2,82.0,2910.0
2019,DZ-BS,Black Soil,31.0,13.0,811.2,77.0,4130.0
2019,DZ-BS,Black Soil,29.0,13.0,811.2,67.0,4030.0
2019,DZ-BS,Black Soil,29.0,13.0,811.2,74.0,3480.0
2019,DZ-BS,Black Soil,28.5,15.0,811.2,73.0,3550.0
2019,DZ-BS,Black Soil,30.5,13.5,811.2,56.0,3840.0
2019,DZ-BS,Black Soil,32.5,13.5,811.2,68.0,4100.0
2019,DZ-BS,Black Soil,32.0,12.5,811.2,80.0,4190.0
2019,DZ-BS,Black Soil,31.0,13.5,811.2,76.0,3150.0
2019,DZ-BS,Black Soil,29.5,11.0,811.2,74.0,4170.0
2019,DZ-BS,Black Soil,27.5,13.0,811.2,75.0,4430.0
2019,DZ-BS,Black Soil,29.0,13.0,811.2,70.0,4230.0
2019,DZ-BS,Black Soil,27.0,14.5,811.2,65.0,4810.0
2019,DZ-BS,Black Soil,29.5,13.5,811.2,77.0,4770.0
2019,DZ-BS,Black Soil,28.5,13.5,811.2,72.0,4130.0
2019,DZ-BS,Black Soil,28.5,13.5,811.2,76.0,3020.0
2019,DZ-BS,Black Soil,27.0,13.5,811.2,66.0,3420.0
2019,DZ-BS,Black Soil,27.0,13.5,811.2,80.0,4270.0
2019,DZ-BS,Black Soil,26.5,15.0,811.2,51.0,4450.0
2019,DZ-BS,Black Soil,24.0,12.5,811.2,78.0,3980.0
2019,DZ-BS,Black Soil,26.5,12.0,811.2,69.0,4040.0
2019,DZ-BS,Black Soil,24.0,10.5,811.2,73.0,2790.0
2019,DZ-BS,Black Soil,26.5,12.5,811.2,61.0,2360.0
2019,DZ-BS,Black Soil,25.0,13.0,811.2,60.0,4430.0
2019,DZ-BS,Black Soil,28.5,13.0,811.2,64.0,3790.0
2019,DZ-BS,Black Soil,28.5,12.5,811.2,69.0,2210.0
2019,DZ-BS,Black Soil,27.0,13.5,811.2,66.0,2720.0
2019,DZ-BS,Black Soil,26.5,13.5,811.2,74.0,2250.0
2019,DZ-BS,Black Soil,27.5,14.0,811.2,76.0,3060.0
2019,DZ-BS,Black Soil,25.5,13.0,811.2,76.0,2530.0
2019,DZ-BS,Black Soil,26.0,13.5,811.2,74.0,2310.0
2019,DZ-BS,Black Soil,26.0,12.5,811.2,66.0,3060.0
2019,DZ-BS,Black Soil,27.0,13.0,811.2,82.0,2460.0
2019,DZ-BS,Black Soil,27.5,13.0,811.2,76.0,2450.0
2019,DZ-BS,Black Soil,27.0,16.0,811.2,73.0,950.0
