Year,Location,Soil Type,Max_Temperature,Min_Teperature,Rainfall,Humidity,Yield Kg/ha
2019,DZ-BS,Black Soil,31,13.5,811.2,53,2790
2019,DZ-BS,Black Soil,30,12.5,811.2,59,3350
2019,DZ-BS,Black Soil,31,12.5,811.2,52,4120
2019,DZ-BS,Black Soil,31,11,811.2,82,2910
2019,DZ-BS,Black Soil,31,,811.2,77,4130
2019,DZ-BS,Black Soil,29,13,811.2,67,4030
2019,DZ-BS,Black Soil,29,13,811.2,74,3480
2019,DZ-BS,Black Soil,28.5,15,811.2,73,3550
2019,DZ-BS,Black Soil,30.5,13.5,811.2,56,3840
2019,DZ-BS,Black Soil,32.5,13.5,811.2,68,4100
2019,DZ-BS,Black Soil,32,12.5,811.2,80,4190
2019,DZ-BS,Black Soil,31,13.5,811.2,76,3150
2019,DZ-BS,Black Soil,29.5,11,811.2,74,4170
2019,DZ-BS,Black Soil,27.5,13,811.2,75,4430
2019,DZ-BS,Black Soil,29,13,811.2,70,4230
2019,DZ-BS,Black Soil,27,14.5,811.2,65,4810
2019,DZ-BS,Black Soil,29.5,13.5,811.2,77,4770
2019,DZ-BS,Black Soil,28.5,13.5,811.2,72,4130
2019,DZ-BS,Black Soil,28.5,13.5,811.2,76,3020
2019,DZ-BS,Black Soil,27,13.5,811.2,66,3420
2019,DZ-BS,Black Soil,27,13.5,811.2,80,4270
2019,DZ-BS,Black Soil,26.5,15,811.2,51,4450
2019,DZ-BS,Black Soil,24,12.5,811.2,78,3980
2019,DZ-BS,Black Soil,26.5,12,811.2,69,4040
2019,DZ-BS,Black Soil,24,10.5,811.2,73,2790
2019,DZ-BS,Black Soil,26.5,12.5,811.2,61,2360
2019,DZ-BS,Black Soil,25,13,811.2,60,4430
2019,DZ-BS,Black Soil,28.5,13,811.2,64,3790
2019,DZ-BS,Black Soil,28.5,12.5,811.2,69,2210
2019,DZ-BS,Black Soil,27,13.5,811.2,66,2720
2019,DZ-BS,Black Soil,26.5,13.5,811.2,74,2250
2019,DZ-BS,Black Soil,27.5,14,811.2,76,3060
2019,DZ-BS,Black Soil,25.5,13,811.2,76,2530
2019,DZ-BS,Black Soil,26,13.5,811.2,74,2310
2019,DZ-BS,Black Soil,26,12.5,811.2,66,3060
2019,DZ-BS,Black Soil,27,13,811.2,82,2460
2019,DZ-BS,Black Soil,27.5,13,811.2,76,2450
2019,DZ-BS,Black Soil,27,16,811.2,73,950
2019,DZ-BS,Black Soil,23.5,14,811.2,70,3310
2019,DZ-BS,Black Soil,27,13,811.2,67,3190
2019,DZ-BS,Black Soil,27.5,12,811.2,66,3660
2019,DZ-BS,Black Soil,26.5,13.5,811.2,66,2530
2019,DZ-BS,Black Soil,25.5,13,811.2,67,2920
2019,DZ-BS,Black Soil,22.5,12,811.2,63,2540
2019,DZ-BS,Black Soil,26,12.5,811.2,52,2950
2019,DZ-BS,Black Soil,25,11.5,811.2,69,3680
2019,DZ-BS,Black Soil,24.5,11,811.2,58,3070
2019,DZ-BS,Black Soil,23,14,811.2,80,3320
2019,DZ-BS,Black Soil,20,14,811.2,72,2000
2019,DZ-BS,Black Soil,25,14,811.2,68,3680
2019,DZ-BS,Black Soil,25.5,12.5,811.2,69,1720
2019,DZ-BS,Black Soil,22.5,12.5,811.2,67,3870
2019,DZ-BS,Black Soil,27,11,811.2,71,3370
2019,DZ-BS,Black Soil,23.5,11.5,811.2,82,2630
2019,DZ-BS,Black Soil,27.5,12.5,811.2,64,2630
2019,DZ-BS,Black Soil,26.5,10.5,811.2,64,3760
2019,DZ-BS,Black Soil,27,11.5,811.2,66,3520
2019,DZ-BS,Black Soil,26.5,13,811.2,59,2880
2019,DZ-BS,Black Soil,27,11.5,811.2,57,2910
2019,DZ-BS,Black Soil,24.5,12.5,811.2,62,3390
2019,DZ-BS,Black Soil,21.5,12.5,811.2,63,3430
2019,DZ-BS,Black Soil,26.5,15,811.2,76,2610
2019,DZ-BS,Black Soil,26,11.5,811.2,75,2960
2019,DZ-BS,Black Soil,26,13,811.2,75,3750
2019,DZ-BS,Black Soil,26.5,14.5,811.2,63,2310
2019,DZ-BS,Black Soil,22,14,811.2,58,3790
2019,DZ-BS,Black Soil,27,14,811.2,73,3470
2019,DZ-BS,Black Soil,24,13,811.2,67,3420
2019,DZ-BS,Black Soil,22,15,811.2,65,2840
2019,DZ-BS,Black Soil,26,15.5,811.2,72,2490
2019,DZ-BS,Black Soil,27,16.6,811.2,72,2200
2019,DZ-BS,Black Soil,22,13.5,811.2,73,3120
2019,DZ-BS,Black Soil,26.5,16,811.2,65,1330
2019,DZ-BS,Black Soil,27,12.5,811.2,65,3840
2019,DZ-BS,Black Soil,26,13,811.2,59,2250
2019,DZ-BS,Black Soil,25.5,13,811.2,62,3040
2019,DZ-BS,Black Soil,24.5,12.5,811.2,71,1470
2019,DZ-BS,Black Soil,25,16.5,811.2,55,2040
2019,DZ-BS,Black Soil,27,14.5,811.2,49,3490
2019,DZ-BS,Black Soil,26.5,14.5,811.2,54,4020
2019,DZ-BS,Black Soil,24.5,12.5,811.2,47,4400
2019,DZ-BS,Black Soil,23.5,13.5,811.2,42,2220
2019,DZ-BS,Black Soil,25,13,811.2,57,3660
2019,DZ-BS,Black Soil,25,13,811.2,58,3120
2019,DZ-BS,Black Soil,27,12,811.2,54,3960
2019,DZ-BS,Black Soil,26.5,11,811.2,48,2550
2019,DZ-BS,Black Soil,27,13.5,811.2,50,2450
2019,DZ-BS,Black Soil,24.5,14,811.2,43,2090
2019,DZ-BS,Black Soil,21.5,14,811.2,53,2380
2019,DZ-BS,Black Soil,26.5,13.5,811.2,62,870
2019,DZ-BS,Black Soil,26,11,811.2,53,1060
2019,DZ-BS,Black Soil,26,10.5,811.2,51,1940
2019,DZ-BS,Black Soil,26.5,13.5,811.2,45,3580
2019,DZ-BS,Black Soil,22,13,811.2,46,3240
2019,DZ-BS,Black Soil,27,12,811.2,53,2090
2019,DZ-BS,Black Soil,24,15,811.2,57,3660
2019,DZ-BS,Black Soil,22,13.5,811.2,59,3390
2019,DZ-BS,Black Soil,26,15,811.2,72,3080
2019,DZ-BS,Black Soil,27,15,811.2,71,3070
2019,DZ-BS,Black Soil,22,14.5,811.2,69,3420
2019,DZ-BS,Black Soil,26.5,16,811.2,64,3180
2019,DZ-BS,Black Soil,27,15,811.2,64,3150
2019,DZ-BS,Black Soil,26,14.5,811.2,59,3510
2019,DZ-BS,Black Soil,25.5,14,811.2,54,2700
2019,DZ-BS,Black Soil,24.5,14.5,811.2,60,3260
2019,DZ-BS,Black Soil,25,13.5,811.2,55,3110
2019,DZ-BS,Black Soil,27,13,811.2,59,2310
2019,DZ-BS,Black Soil,26.5,14,811.2,45,4020
2019,DZ-BS,Black Soil,24.5,14.5,811.2,46,2210
2019,DZ-BS,Black Soil,23.5,14,811.2,47,3650
2019,DZ-BS,Black Soil,25,14,811.2,42,3320
2019,DZ-BS,Black Soil,25,14.5,811.2,52,3240
2019,DZ-BS,Black Soil,29,12,811.2,45,2550
2019,DZ-BS,Black Soil,29.5,13.5,811.2,50,1920
2019,DZ-BS,Black Soil,30,13,811.2,64,3550
2019,DZ-BS,Black Soil,30.5,13,811.2,55,3780
2019,DZ-BS,Black Soil,31,15,811.2,52,4330
2019,DZ-BS,Black Soil,30,13,811.2,52,4420
2019,DZ-BS,Black Soil,28.5,13.5,811.2,52,3420
2019,DZ-BS,Black Soil,29,12.5,811.2,55,2480
2019,DZ-BS,Black Soil,28.5,14,811.2,52,2870
2019,DZ-BS,Black Soil,30,13.5,811.2,49,3750
2019,DZ-BS,Black Soil,30,14,811.2,62,3370
2019,DZ-BS,Black Soil,27,14.5,811.2,58,1980
2019,DZ-BS,Black Soil,26.5,15.5,811.2,57,2790
2019,DZ-BS,Black Soil,27,15.5,811.2,51,3010
2019,DZ-BS,Black Soil,29.5,15,811.2,48,2450
